Up_sale,Client,Competitors,Source,Att_t_client,Seller,won,win_score,win_quintile
Yes,Current,No,Referral,Strategic account,Other,1,0.7565138563703706,3
Yes,Current,No,Referral,Strategic account,Other,1,0.7565138563703706,3
No,Current,No,Joint past,Strategic account,Seller 1,1,0.609480534554325,2
Yes,Current,No,Joint past,Strategic account,Other,1,0.799769968231131,3
No,New,Unknown,Unknown,Normal,Seller 1,1,0.3187348293599141,1
No,New,Unknown,Referral,First deal,Other,0,0.249465780902238,1
No,New,Yes,Referral,First deal,Seller 1,1,0.1730828711335789,1
Yes,Current,No,Joint past,Normal,Seller 1,1,0.7931524304301745,3
Yes,Current,No,Joint past,Normal,Seller 2,1,0.6141318263499994,2
Yes,Current,No,Joint past,Normal,Other,1,0.7701952898886224,3
Yes,Current,No,Joint past,Normal,Seller 1,1,0.7931524304301745,3
No,New,Unknown,Other,First deal,Seller 1,1,0.4651728096146445,2
Yes,Current,No,Joint past,Strategic account,Seller 4,1,0.8741271324422334,4
Yes,Current,No,Joint past,Strategic account,Seller 4,1,0.8741271324422334,4
No,New,Yes,Other,First deal,Seller 2,0,0.16576504248810656,1
Yes,Current,No,Joint past,Strategic account,Other,1,0.799769968231131,3
Yes,Current,No,Joint past,Strategic account,Seller 10,1,0.8337246670366038,4
Yes,Current,No,Joint past,Normal,Seller 1,1,0.7931524304301745,3
No,New,Yes,Referral,First deal,Seller 2,0,0.07993331360755088,0
Yes,Current,No,Joint past,Normal,Seller 9,1,0.6160105361411333,2
Yes,Current,No,Joint past,Normal,Seller 1,1,0.7931524304301745,3
Yes,Current,No,Joint past,Normal,Seller 2,1,0.6141318263499994,2
Yes,Current,No,Joint past,Normal,Seller 10,1,0.8079609711600731,4
Yes,Current,No,Joint past,Normal,Seller 1,1,0.7931524304301745,3
Yes,Current,No,Joint past,Normal,Seller 2,1,0.6141318263499994,2
Yes,Current,Yes,Joint past,Strategic account,Seller 1,1,0.673379722085415,3
Yes,Current,Yes,Joint past,Strategic account,Seller 1,1,0.673379722085415,3
Yes,Current,No,Joint past,Strategic account,Other,1,0.799769968231131,3
No,New,Yes,Referral,First deal,Seller 1,0,0.1730828711335789,1
Yes,Current,No,Joint past,Normal,Seller 2,1,0.6141318263499994,2
Yes,Current,No,Joint past,Normal,Seller 2,1,0.6141318263499994,2
No,New,Yes,Direct mail,First deal,Seller 2,0,0.06962746011085966,0
No,New,Yes,Direct mail,First deal,Seller 2,0,0.06962746011085966,0
No,New,Yes,Joint past,Normal,Seller 9,0,0.11704462037294892,0
No,New,Yes,Direct mail,First deal,Seller 2,0,0.06962746011085966,0
No,New,Yes,Direct mail,First deal,Seller 2,0,0.06962746011085966,0
Yes,Current,No,Joint past,Normal,Other,1,0.7701952898886224,3
Yes,Current,No,Joint past,Normal,Seller 2,1,0.6141318263499994,2
No,New,Yes,Referral,Strategic account,Seller 1,0,0.22704220241593226,1
No,New,No,Joint past,Normal,Seller 1,1,0.4125654644708387,1
No,Current,No,Joint past,Normal,Seller 1,0,0.5670158556257111,2
Yes,Current,No,Joint past,Strategic account,Seller 1,1,0.8204613528120712,4
No,New,Yes,Media,First deal,Seller 4,0,0.13409889414503956,0
